,R,Delta,Order,Theta
320,60.0,5.0,0.5363084671023874,0.09729123401581517
321,60.0,5.0,0.47176025002119054,0.10615504834541571
322,60.0,5.0,0.45963382140276854,0.1070278014677325
323,60.0,5.0,0.4852856998391149,0.07175561271903404
324,60.0,5.0,0.4997215505585276,-0.039688896074488174
325,60.0,5.0,0.40790541514728446,0.13749456944341026
326,60.0,5.0,0.31055363175673606,0.014063962482212363
327,60.0,5.0,0.41149584982210746,-0.036343593215611314
328,60.0,5.0,0.46489610238953494,0.010540074673944556
329,60.0,5.0,0.4391132869336292,-0.048877398086894855
330,60.0,5.0,0.35025923617480204,-0.09835854531268451
331,60.0,5.0,0.3787201141850442,0.04727142871235244
332,60.0,5.0,0.44638032517217596,0.0628554350334855
333,60.0,5.0,0.4807767815424063,-0.04303346691380635
334,60.0,5.0,0.38345209542128433,-0.10390556216481105
335,60.0,5.0,0.4488138200176733,-0.1609602178599313
336,60.0,5.0,0.3273035354422994,0.046083775701300844
337,60.0,5.0,0.4955911560659686,0.10422268656400796
338,60.0,5.0,0.462122332150928,0.011866908351325506
339,60.0,5.0,0.431189596586774,0.15128084339689502
340,60.0,5.0,0.2990328020634622,0.10435339083156094
341,60.0,5.0,0.5268687949745599,-0.05422650033018893
342,60.0,5.0,0.4371732643363408,0.14132905008020724
343,60.0,5.0,0.384119048137227,-0.04851935284707827
344,60.0,5.0,0.35175465846940723,0.0059065434667757545
345,60.0,5.0,0.4628786031497764,0.10741924538928571
346,60.0,5.0,0.35519851816743664,0.06763287073578368
347,60.0,5.0,0.4577515495120346,-0.03252032545822658
348,60.0,5.0,0.43661196908723243,-0.05370292048096286
349,60.0,5.0,0.43180741641355624,-0.09687796137779218
350,60.0,10.0,0.3155817181552823,-0.15305630890334088
351,60.0,10.0,0.293283694977459,-0.3360176242690944
352,60.0,10.0,0.31541223203650465,0.2666221774283012
353,60.0,10.0,0.4502113316548405,0.2194577144066891
354,60.0,10.0,0.35487569814980713,-0.038952826248409705
355,60.0,10.0,0.4736687046707006,-0.02169771212962917
356,60.0,10.0,0.4848735741374163,0.29092835018199603
357,60.0,10.0,0.4707490624949518,-0.13195555554183747
358,60.0,10.0,0.4112255817981379,-0.08717399833155814
359,60.0,10.0,0.23246182191435993,0.10837732428315223
360,60.0,10.0,0.49160643929318604,0.16920124117162702
361,60.0,10.0,0.4701099829077013,-0.0936295833777251
362,60.0,10.0,0.40872863172005075,-0.1982259456863396
363,60.0,10.0,0.31572696297261926,-0.02223388329701568
364,60.0,10.0,0.6002766228109784,-0.032112278937965914
365,60.0,10.0,0.3315080464732641,0.07647210402870053
